Registro,Periodo,Dato
0,1988-12-01,560.1
1,1989-01-01,612.9
2,1989-02-01,560.7
3,1989-03-01,679.6
4,1989-04-01,692.5
5,1989-05-01,681.6
6,1989-06-01,659.3
7,1989-07-01,647.3
8,1989-08-01,615.2
9,1989-09-01,650.8
10,1989-10-01,692.2
11,1989-11-01,655.7
12,1989-12-01,728.2
13,1990-01-01,753.3
14,1990-02-01,607.5
15,1990-03-01,622.3
16,1990-04-01,496.4
17,1990-05-01,515.6
18,1990-06-01,471.5
19,1990-07-01,602.9
20,1990-08-01,1023.5
21,1990-09-01,1307.6
22,1990-10-01,1359.1
23,1990-11-01,1244.2
24,1990-12-01,1099.8
25,1991-01-01,795.546
26,1991-02-01,615.36
27,1991-03-01,617.088
28,1991-04-01,661.079
29,1991-05-01,689.802
30,1991-06-01,654.417
31,1991-07-01,706.992
32,1991-08-01,707.23
33,1991-09-01,708.099
34,1991-10-01,765.855
35,1991-11-01,640.381
36,1991-12-01,604.566
37,1992-01-01,609.516
38,1992-02-01,542.443
39,1992-03-01,615.897
40,1992-04-01,648.075
41,1992-05-01,713.655
42,1992-06-01,763.399
43,1992-07-01,732.619
44,1992-08-01,769.665
45,1992-09-01,767.651
46,1992-10-01,804.827
47,1992-11-01,689.681
48,1992-12-01,649.171
49,1993-01-01,619.493
50,1993-02-01,595.083
51,1993-03-01,708.446
52,1993-04-01,680.576
53,1993-05-01,683.047
54,1993-06-01,676.32
55,1993-07-01,652.679
56,1993-08-01,645.217
57,1993-09-01,630.564
58,1993-10-01,674.65
59,1993-11-01,585.167
60,1993-12-01,533.735
61,1994-01-01,536.187
62,1994-02-01,495.079
63,1994-03-01,544.937
64,1994-04-01,611.847
65,1994-05-01,678.63
66,1994-06-01,677.967
67,1994-07-01,706.225
68,1994-08-01,675.66
69,1994-09-01,630.388
70,1994-10-01,685.613
71,1994-11-01,702.076
72,1994-12-01,674.875
73,1995-01-01,642.855
74,1995-02-01,681.24
75,1995-03-01,713.362
76,1995-04-01,715.572
77,1995-05-01,834.877
78,1995-06-01,770.069
79,1995-07-01,736.585
80,1995-08-01,806.996
81,1995-09-01,737.491
82,1995-10-01,624.904
83,1995-11-01,617.68
84,1995-12-01,756.192
85,1996-01-01,821.445
86,1996-02-01,782.004
87,1996-03-01,896.971
88,1996-04-01,995.881
89,1996-05-01,957.442
90,1996-06-01,1000.438
91,1996-07-01,909.105
92,1996-08-01,950.613
93,1996-09-01,1110.652
94,1996-10-01,1239.502
95,1996-11-01,1017.409
96,1996-12-01,1135.449
97,1997-01-01,1079.165
98,1997-02-01,910.936
99,1997-03-01,973.573
100,1997-04-01,961.923
101,1997-05-01,927.926
102,1997-06-01,865.621
103,1997-07-01,969.246
104,1997-08-01,957.958
105,1997-09-01,970.372
106,1997-10-01,1033.453
107,1997-11-01,1024.821
108,1997-12-01,780.442
109,1998-01-01,802.547
110,1998-02-01,567.639
111,1998-03-01,625.515
112,1998-04-01,649.149
113,1998-05-01,673.639
114,1998-06-01,591.8
115,1998-07-01,576.564
116,1998-08-01,553.571
117,1998-09-01,608.356
118,1998-10-01,582.58
119,1998-11-01,569.498
120,1998-12-01,494.907
121,1999-01-01,504.242
122,1999-02-01,455.22
123,1999-03-01,623.578
124,1999-04-01,687.579
125,1999-05-01,730.814
126,1999-06-01,733.177
127,1999-07-01,874.31
128,1999-08-01,989.695
129,1999-09-01,1050.665
130,1999-10-01,1047.864
131,1999-11-01,1088.488
132,1999-12-01,1173.851
133,2000-01-01,1191.69
134,2000-02-01,1236.118
135,2000-03-01,1387.893
136,2000-04-01,1172.835
137,2000-05-01,1378.451
138,2000-06-01,1493.266
139,2000-07-01,1265.428
140,2000-08-01,1541.605
141,2000-09-01,1497.74
142,2000-10-01,1565.812
143,2000-11-01,1240.905
144,2000-12-01,1152.569
145,2001-01-01,1292.976
146,2001-02-01,1131.413
147,2001-03-01,1196.672
148,2001-04-01,1091.623
149,2001-05-01,1181.963
150,2001-06-01,1127.206
151,2001-07-01,1154.016
152,2001-08-01,1192.852
153,2001-09-01,1087.153
154,2001-10-01,1005.653
155,2001-11-01,853.885
156,2001-12-01,875.551
157,2002-01-01,905.919
158,2002-02-01,865.23
159,2002-03-01,1172.38
160,2002-04-01,1249.702
161,2002-05-01,1290.851
162,2002-06-01,1154.37
163,2002-07-01,1365.082
164,2002-08-01,1327.114
165,2002-09-01,1334.861
166,2002-10-01,1504.824
167,2002-11-01,1141.611
168,2002-12-01,1511.52
169,2003-01-01,1878.712
